,typesOrg,number,numberOrg
455,national academy | scientific society,8,2
456,newspaper,8,1
457,organization | public research university | public university | university of applied sciences | university of excellence,8,5
458,open-access publisher | pontifical university | university,8,3
459,national academy | swedish royal academies,8,2
460,academic institution | private university,8,2
461,student society,8,1
462,korporationsverband,8,1
463,archive | open-access publisher | university,8,3
464,intergovernmental organization | international court,8,2
465,foundation | public university,8,2
466,cemetery | private not-for-profit educational institution | university | women's college,8,4
467,liberal arts college | organization | private not-for-profit educational institution,8,3
468,islamic university,8,1
469,hawza,8,1
470,landsmannschaft,8,1
471,jesuit university | private not-for-profit educational institution | private university,8,3
472,cultural heritage | faculty,8,2
473,u.s. state,8,1
474,higher education institution directly under ministry of education of the people’s republic of china | university | vice-ministerial level university,8,3
475,primary school,8,1
476,public university | university in france,8,2
477,public educational institution of the united states | public university | university | university building,8,4
478,academy of sciences and arts,8,1
479,educational institution | private university,8,2
480,academy of sciences | national academy | wikimedia information list,8,3
481,primary school | school,8,2
482,academy of sciences | extraordinary organ | national academy,8,3
483,research institute | voluntary association,8,2
484,catholic university | open-access publisher | organization | private university,8,4
485,national university | university,8,2
486,faculty of law | open-access publisher,7,2
487,boarding school | boys' school | charitable organization | day school | independent school,7,5
488,educational organization | higher education institution | organization | university,7,4
489,census-designated place in the united states | land-grant university | open-access publisher | public educational institution of the united states | university,7,5
490,club,7,1
491,architectural heritage monument | open-access publisher | public university | research university,7,4
492,boarding school | boys' high school | boys' school | charitable organization | independent school | public school,7,6
493,land-grant university | public educational institution of the united states | public research university | public university | research university | sea grant institution | space grant institution | sun grant institution,7,8
494,educational organization | higher education institution | open-access publisher | organization | public research university,7,5
495,academy school | boarding school,7,2
496,boarding school | boys' school | high school,7,3
497,boarding school | building | grammar school | public school | secondary school,7,5
498,affiliated school | university college,7,2
499,faculty | open-access publisher | publishing company,7,3
500,catholic seminary,7,1
501,private university | women's college,7,2
502,province court of spain,7,1
503,public educational institution of the united states | public research university | university campus,7,3
504,railway company,7,1
505,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,7,6
506,academic publisher | public educational institution of the united states | public university,7,3
507,academy of sciences | building,7,2
508,foreign affairs ministry | ministry of poland,7,2
509,advocacy group | nonprofit organization,7,2
510,business school | open-access publisher,7,2
511,catholic school,7,1
512,q1423696,7,1
513,bundestag committee,7,1
514,scientific society,7,1
515,district courts of russia,7,1
516,university college,7,1
517,high school | school | specialized high school in new york city,7,3
518,high court of justice of spain,7,1
519,constituent college | educational organization | higher education institution | public research university,7,4
520,superior court,7,1
521,higher education institution | public university | replaced entity | university,7,4
522,veterans' organization,7,1
523,jesuit university | pontifical university,7,2
524,landsmannschaft | studentenverbindung,7,2
525,liberal arts college in the united states | private not-for-profit educational institution | private university,7,3
526,archive | superior graduate school in italy,7,2
