,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
69044,http://www.wikidata.org/entity/Q4766606,http://www.wikidata.org/entity/Q6790304,University of Glasgow School of Law|University of Glasgow,2,http://www.wikidata.org/entity/Q7895465|http://www.wikidata.org/entity/Q192775,1950-1974,1970.0,1981.0,1965.0,1976.0,1925-1949
69045,http://www.wikidata.org/entity/Q4766606,http://www.wikidata.org/entity/Q7356638,University of Glasgow School of Law|University of Glasgow,2,http://www.wikidata.org/entity/Q7895465|http://www.wikidata.org/entity/Q192775,1950-1974,1970.0,1981.0,1969.0,1980.0,1950-1974
3258,http://www.wikidata.org/entity/Q106582189,http://www.wikidata.org/entity/Q111047795,Laval University|Séminaire de Québec,2,http://www.wikidata.org/entity/Q1067935|http://www.wikidata.org/entity/Q3296532,1875-1899,1916.0,1927.0,1911.0,1922.0,1875-1899
69132,http://www.wikidata.org/entity/Q4768453,http://www.wikidata.org/entity/Q54862562,Princeton University|Princeton School of Public and International Affairs,2,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q2349578,1950-1974,1976.0,1987.0,1977.0,1988.0,1950-1974
69167,http://www.wikidata.org/entity/Q4768453,http://www.wikidata.org/entity/Q7614578,Princeton University|Princeton School of Public and International Affairs,2,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q2349578,1950-1974,1976.0,1987.0,1981.0,1992.0,1950-1974
104178,http://www.wikidata.org/entity/Q8000210,http://www.wikidata.org/entity/Q8015436,University of Saskatchewan|University of Saskatchewan College of Law,2,http://www.wikidata.org/entity/Q1514848|http://www.wikidata.org/entity/Q7896274,1900-1924,1930.0,1941.0,1936.0,1947.0,1900-1924
69187,http://www.wikidata.org/entity/Q4768798,http://www.wikidata.org/entity/Q4859090,Yale University|Harvard Law School,2,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q49122,1950-1974,1970.0,1981.0,1968.0,1979.0,1950-1974
69229,http://www.wikidata.org/entity/Q4768798,http://www.wikidata.org/entity/Q6768514,Yale University|Harvard Law School,2,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q49122,1950-1974,1970.0,1981.0,1964.0,1975.0,1925-1949
69259,http://www.wikidata.org/entity/Q4768798,http://www.wikidata.org/entity/Q7724193,Yale University|Harvard Law School,2,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q49122,1950-1974,1970.0,1981.0,1976.0,1987.0,1950-1974
69284,http://www.wikidata.org/entity/Q4768901,http://www.wikidata.org/entity/Q6244667,University of Pittsburgh|University of Pittsburgh School of Law,2,http://www.wikidata.org/entity/Q235034|http://www.wikidata.org/entity/Q7896136,1900-1924,1921.0,1932.0,1919.0,1930.0,1900-1924
